id,label,tweet
0,1,Austrian Government Suspends Mandatory Covid-19 Vaccine For All Adults.
1,1,Younger brother has tested positive for Covid in the UK. He is triple vaaxed and isolating. So far he says it is only like the worst cold he has ever had thanks to the vaccine protection
2,1,"Sup,covid! Daydrinking is a essential routine of staying sane in order to not go crazy during covid time, My human once told me a story:  Charlie, who is a  doctor, he  saved people's lives in the pandemic, and he  invented the vaccine"
3,1,"Covid is only out of the limelight. Restrictions are still in place. Mandates to take the vaccine or lose your job and basic privileges are in place. And bills are moving through to make them permanent, especially in Cali are moving through. It’s a diversion. Don’t let it go."
4,1,SECOND COVID VACCINE DONE WOOOOOOO  no gender awakening this time
5,1,Got my 2nd COVID shot at a drive up Thurs. They weren't fussy about my allergies.  Reaction has been similar to last time. I have red/swelling around the injection that is gaining surface area. This is typical of my previous vaccine reactions in the past &amp; not very concerning.
6,1,I'm starting to feel like maybe my covid vaccine innoculated me against some other things as well.
7,1,"5th day in bed with fucking Covid.   Thankful for the vaccine, furious at all the jackass officials who drop mask mandates including my employer @Columbia.   What on earth do you have to loose in keeping the damn masks on for a few more months?"
8,1,is it too late to get the vaccine i really don't want covid
9,1,One year ago today I got my first covid vaccine while working at a vaccine clinic.
10,1,"Stop shaming me for putting the Covid vaccine in my body, I don’t say shit when you put that cocaine in your nose"
11,1,"It was a lost Saturday. Had to spend two days in bed to recuperate from Pfizer #3, the first booster of the COVID vaccine."
12,1,:: why did I have a dream that there was a new Covid vaccine that actually prevents everyone from getting it???
13,1,"I was wondering if the people who refuse to take the COVID-19 vaccine, are also refusing to take prescription medicine?. Prescription medicines come with possible side effects ranging from mild to life threatening. Why take one and not the other?. #COVIDvaccine"
14,1,Day 5 of Covid feel tired and washed out. Vaccine working as still able to function not as bad as flu
15,1,A booster dose is the additional dose of the COVID-19 vaccine taken after the full dose of any brand of the vaccine for further protection against the virus.  #YesToCOVID19Vaccine #COVID19VaccineIsSafe #GoForCOVIDVaccineToday
16,1,"Out of all 3 Covid vaccine shots, my arm has only been sore for the booster 🥴"
17,1,This @toryboypierce is a joke. Who isnt scared of covid ? Clearly 100s millions of people took the covid vaccine because they enjoy vaccinations rather than because they are scared of covid. #lbc what an idiot
18,1,Mr Dix and Dr Henry are saying that they have done all that they could do to minimize risk of acute Covid in BC. Masks. Vaccine. Boosters. Distance. They can't make Covid go away. Covid kills. Education and science save lives. Over to us...
19,1,"Had my fourth vaccine dose at end of December. Had an antibody test on 16 Feb which showed a very strong vaccine response (&gt;2,500 U/mL). Tested positive for COVID this morning 🤷🏼u200d♀️"
20,1,"Now that most places in the U.S. are opening up and loosening their mask &amp; vaccine mandates in public, I’m wondering how long it’ll be before we’ll need a 4th shot to protect us from the next mutated strain of COVID that unvaccinated idiots will almost certainly catch and spread?"
21,1,TBH have been scared to get covid vaccine even after having covid but finally scheduled my appointment to get the vaccine
22,1,just got my second covid vaccine
23,1,"India’s COVID-19 vaccination coverage has crossed 180 Crore (1,80,10,69,235) today.   More than 17 lakh (17,82,501) vaccine doses have been administered till 7 pm today: Union Health Ministry  #ConnectGujarat #BeyondJustNews #CGNews"
24,1,"Incidentally   Day 5 of Covid  Day 3 of 🚽💨🌊💩  Appetite half returned with dizzy spells, holding at 4lb weight loss.   Get the #vaccine"
25,1,Facebook reminded me that a year ago today I got my first Covid vaccine.
26,1,1yr ago today I got my first dose of the Covid vaccine 😳
27,1,"very disheartening that after years of being as careful as i can, getting 3 doses of vaccine, HAVING COVID in the early months of the pandemic, that once all the restrictions on masking are gone i get covid AGAIN  i must have been really awful in a previous life to deserve this"
28,1,I had my first covid vaccine today.
29,1,"#COVID19: #Gujarat in 24 hours vaccinated 10,763 persons for the first dose and 50,480 for the second. In all, 5.21 crore are administered first and 4.95 crore second dose of Covid vaccine #GujaratCoronaUpdate #covidvaccination"
30,1,"There are still ~1500 COVID deaths/day in the US. Total deaths from the 9/11 attack: 2996. And yet, 20 years later, Americans still accept high airport security, intrusive pat-downs, seizure of banned items - while they protest mask and vaccine mandates in an ongoing pandemic. 🤷u200d♀️"
31,1,"Recent release of #Pfizer #COVID-19 #vaccine #documents sparked a flurry of news stories. Many of them referenced data released previously (November 2021) showing Pfizer reported to the U.S. #FDA Food and Drug Administration that the drugmaker was aware of 1,223 reports of deaths"
32,1,When people state that deaths after a covid vaccine are just coincidental are the same people that stated a positive test result was a covid death.
33,1,just went to get my second vaccine and they said i couldn’t get it cos i’ve had covid in the last 12 weeks but i got told i could get it after 28 days 👍🏻👍🏻
34,1,Batman has to get the Covid vaccine.  Just saying
35,1,"With the war crimes that’s going on in Ukraine now in mind, which rightfully demands our attention…I still want to give a heartfelt “thank you so much, from the bottom of my heart” to the scientists who developed the Covid-vaccine. A little bit less to worry about, at least.❤️"
36,1,Why do you think the companies &amp; govt have suddenly dropped covid vaccine mandates?  Hint: Its not because of omicron but Pfizer data.
37,1,3rd dose of the covid vaccine taken! Like a champ! Now I sleep eternally
38,1,"On the 2nd anniversary of #covid, i would like to thank Moderna and Pfizer for producing the vaccine. Where would we be if there was no vaccine? Thanks to all scientists and medical staff around the world #covid #cdnpoli #yeg #abpoli #CovidIsNotOver"
39,1,Today I learned my parents FULLY believe that getting the COVID vaccine/boosters means you’re shedding COVID for two weeks so guess who is waiting to get her Booster until right before she flies home to casually bring it up during family dinner :)
40,1,People need to realize that this Covid vaccine would have never been approved under normal circumstances as it wouldn't have been deemed safe enough. It's only the Emergency Use that got it onto the market.
41,1,"God is great! After my niece was coerced into getting vaxxed during pregnancy, she gave birth to a healthy girl a wk ago   Tbf, every vaxxed person I personally know (more than 40) are all okay, except for 1 who still has side effects  I'm still 💯% against covid vaccine mandates"
42,1,"I am triple vaccinated against covid. I still think mask mandates are better than vaccine “passport” mandates. Aerosol scientists say masks are very effective at preventing the spread. I hate masks. But I also can’t afford to get covid. Who can, really?!"
43,1,.@OlafScholz today marks two years since the @WHO declared #Covid a global pandemic. We could have been celebrating the end of the #global #pandemic. But Big pharmaceutical corporations still haven’t shared vaccine patents. @Bundeskanzlerz change that and #EndCOVIDMonopolies!
44,1,"I'm 58, fat, have had all 3 Covid jabs, got it a week ago, and have survived. Last month a guy I knew, a fair bit younger and fitter than me, a vaccine refusenik who'd bought into all the conspiracy theories, got Covid and died. I rely on science and the law of averages."
45,1,I have a question.   Was it wrong to call CoVID shots a “Vaccine”..   It‘s not a vaccine as most reasonable people would interpret that word.   (yes I’ve had my 3 shots)
46,1,"India’s COVID-19 vaccination coverage has crossed 180 Crore (1,80,10,69,235) today. More than 17 lakh (17,82,501) vaccine doses have been administered till 7 pm today: Union Health Ministry"
47,1,Neither one of the people that got covid with me can go back to work yet. They weren’t boosted (second vaccine March 2021). I am boosted. I am beyond ready to be back. Get vaccinated. Get your booster.
48,1,"That's more people coming down with covid round here , they have all had vaccine jags, so they don't seem to be as bad, still ill but not dying so that's a good sign, more time and we can hopefully find even better treatment."
49,1,I am SO happy that my 8-year-old was finally offered a covid vaccine this week - and also in awe of just how hard everyone at the vaccine centre worked to make it a good experience for the kids. Stickers! Ginger biscuits! Where's Wally colouring sheets! Nurses dressed as Olaf! 💕
50,1,"My parents had covid over the past few days but luckily everyone is fine. My Mom had barely any symptoms so I wasn't concerned, but my Dad had it realy bad for like 2 days but he's fine now. It's scary what could have happened if it was pre vaccine especially since he's high risk"
51,1,"I swear, some people on the right don't want the vaccine to be effective so they can say ""I told you so"" and some people on the left don't want it to be effective because they seem to hate the thought of any good news in regard to covid. Fuck yous both. The vaccine works."
52,1,Just got home from getting my 1st covid vaccine #Pfizervaccine so far just feeling dizzy and vision blurred. I felt 100% before I got it.....I took two tylenols in case fever.
53,1,"10th day living w covid : diarrhoea and vomiting. Sangat terseksa, couldn’t think how would I be without vaccine. Mesti lagi terseksa."
54,1,People will really be like “my body my choice” about the vaccine and then monologue about how you should stop with the masks already because they had COVID and it’s not that bad🙃
55,1,"Oh, it’s twelve weeks since a positive test or first vaccine for under 18s … not four. Ethan’s second jab will be in May then (unless they get Covid again, of course)."
56,1,One year ago today I received my first dose of the COVID vaccine.
57,1,"#KeepMasking Keep your guards up COVID still out Everyday a new study is showing the long term damage caused by COVID The vaccine give you better chance at fighting the infection, it's not a forcefield to keep the virus away The mask is your shield  Better mask = Better shield"
58,1,"Why is it that the people who tirelessly campaigned for ""back to normal"" never campaign for ventilation, or better sick pay or masks or to combat vaccine disinformation - the things that would reduce covid burden as other mitigations are removed?"
59,1,Why did the Pope relieve Bishop Daniel Fernández Torres? All news reports I look up online state one reason was the Bishop had sanctuary for individuals who did not want covid vaccine. I feel the Catholic religion has a false Pope.
60,1,"🇦🇹 Austrian Government SUSPENDS Covid-19 Vaccine Mandate For ALL ADULTS, just days before the law becomes effective throughout the country! 👌🏻"
61,1,I am back from taking the third shot of the covid vaccine.
62,1,"Covid-19 in the UK    73.3% with two vaccine doses and 57.3% with booster top-up  Daily cases* 72,898 In hospital 11,944 Daily deaths* 114  Daily cases are increasing - be safe"
63,1,"Mom's home help couldn't get her COVID-19 vaccine booster dose as MySejahtera hadn't updated her second dose as being received back in Aug 2021. Thanks to the kiosk at WTC, this finally got rectified. In and out in 15 mins. Thank you @my_sejahtera @KKMPutrajaya and @Khairykj"
64,1,I know Im for sale by chocolate pony by the bathroom* yeah...I got the covid vaccine I can be part of the fire but I dont actually have a name to search for &amp;gt;:(
65,1,"What amazes me is people are defending Pfizer/gvmnt and saying the fatality rate of “vaccine” is only .1%..  At it worst, Actual Covid fatality is .06% …  Seems catching Covid has better chances to live than taking the “vaccine” …  Come on!!"
66,1,I wish I could have another COVID vaccine. Just a little something to take the edge off.
67,1,Got my second shot of the #covid vaccine.
68,1,"One of my best friends for 30-yr bought into the Covid vaccine conspiracy theory. He avoided it for exactly 2-years. Got it, killed him in 21-days.  Kept telling him odds are if you get it, this will kill you.  I wish I was not right.  Missing my friend today. #VaccinesSaveLives"
69,1,tw/ cw covid vaccine  i’m getting my second covid vaccine kinda nervous ngl
70,1,"Pfizer is close to submitting data to the Food and Drug Administration on a fourth dose of its COVID-19 vaccine.  “Clearly there is a need in an environment of omicron to boost the immune response,” he told CNBC in an interview Friday."
71,1,"BREAKING: Austrian Government SUSPENDS Covid-19 Vaccine Mandate For ALL ADULTS, just days before the law becomes effective throughout the country."
72,1,"This time last year I was shielding and being bumped up the vaccine list.  Restrictions gone in England for 3 weeks and now I have covid, despite being particularly careful  Even ""mild"" version has completely floored me and no let up yet.  Who is the pandemic over for exactly?"
73,1,Fourth dose of covid vaccine now available for over 80s in France.
74,1,My dad would definitely have long covid if he hadn't had his third shot &amp; he would definitely be dead if he had no vaccine.  He still may get long covid.   Freedom
75,1,"Contrary to what the headlines say, I haven’t woken up once and thought, “you know, I really regret not getting that miraculous Covid vaccine everyone’s raving about” not once 😂"
76,1,English diary Day 352. I got some strong side effects🤒 from the COVID-19 vaccine💉 than last time. But I'm fine😀 now. #LearnEnglish #englishlearner #twinglish #diary
77,1,"In hindsight, no one could have predicted that a COVID vaccine would accelerate the end of lockdowns."
78,1,Running the numbers for a sixth time the results keep saying the same thing the Covid vaccine made me gay
79,1,"💥💥💥BREAKING NOW: | Austrian Government SUSPENDS Covid-19 Vaccine Mandate For ALL ADULTS, just days before the law becomes effective throughout the country.  Join @CBKNEWS"
80,0,"After receiving her first dose of the COVID-19 vaccine, Li Jun’s 4-year-old developed a fever and coughs. After the second shot, the father could tell something was wrong. Swelling appeared around his daughter’s eyes and did not go away."
81,0,I forgot that voluntarily getting yourself sick with the covid vaccine sucks donkey nuts
82,0,"As usual, when it comes to covid-19, @ScottMorrisonMP is big on talk, glacial in action.  A PM that showed #realleadership would immediately end all restrictions, including vaccine mandates (i.e. coercion).  Cut the spin &amp; positioning, get a move on and restore our rights now."
83,0,"I'm quite surprised that in year 3 of Covid, I'm still free from infection, free from a vaccine, have worked constantly throughout, been to events, supermarkets and pubs unmasked and yet ""The Science"" says I need a vaccine to survive 🤔"
84,0,Not an anti vaccine person but bruh I am not getting that covid vaccine until they sure of wtf they doing
85,0,Covid vaccine will contain macrosoft.
86,0,Covid causes blood clotting. A Utah woman believes that her husband and son had blood clotting due to the vaccine. My reliance has been on zinc lozenges for years. Suck on one at the beginning of an illness or you have been around somebody that is sick.
87,0,"They don’t call it a flu vaccine they call it a flu shot. So why do they call covid vaccine when it doesn’t prevent contraction or passing it on to others? It’s a shot, not a vaccine. And it’s killing people."
88,0,Halfwits who don't understand how a vaccine works: see this just proves my point that the vaccinated can pass Covid on. Look they are getting hospitalised in higher numbers than the unvaccinated. More are dying from vaccine injuries than Covid. We are on the right side of history
89,0,I haven’t heard shit about a covid mask nothin.. that’s gotta be concerning considering y’all put a couple doses of what they were pushing out as a vaccine into your only body….. literally 1 of 1 lol.
90,0,Is it okay to withhold covid vaccine donations from a developing country because it's government has chosen to not take a side on Russia-Ukraine?
91,0,"Since 1/20/21, Let's see... Border crisis COVID-19 Fatality Increase crisis Vaccine Mandate crisis Economic/Inflation crisis Russian War crisis Threat of China Agression crisis International relations crisis Gas crisis"
92,0,The most recent death involves a 7-year-old boy (VAERS I.D. 2152560) from Washington who died 13 days after receiving his first dose of Pfizer’s COVID vaccine when he went into shock and suffered cardiac arrest. He was unable to be resuscitated and died in the emergency dept
93,0,Nothing like waking up knowing I didn’t cave in to federal mandates trying to force me to take a vaccine that has a list of side effects longer than a city block. #coronavirus #COVID #COVID19 #Russia #Ukraine #UkraineRussiaWar
94,0,"They control everything. FUD, propaganda and forced narrative via media and planned events. Covid was a plandemic, War is so, CYBER ATTACKS / cyber pandemic is coming... Vaccination is a propoganda... vaccine based passports, even digital passports to access internet is coming."
95,0,Everybody sure went from “COVID vaccine skeptics are literal murderers” to “the pandemic is over because Biden says so” pretty quickly.  Now it’s “Kill all Russians”  Good stuff.
96,0,It is actually impossible for me to have a fourth Covid vaccine.
97,0,Same people that had the dumb “I had my covid vaccine” banners on their profile pics now have “I stand with Ukraine” I still don’t care losers.
98,0,Protip: If you ask your doctor for the COVID vaccine then show them the symbol of the Illuminati they’ll give you the secret shot that disables the NWO’s tracking microchip.
99,0,I can’t be the only one to experience weird menstrual cycles after I got my first COVID vaccine. I don’t think I’ve had a regular period since. It’s been a year and I think I’ve only had my period 6-7 times. That is not normal.
100,0,"sometimes i wonder if ""the west"" is purposefully trying to wipe out most if the worlds population.  it sure seems that way.  and if so, did they create covid?  and also, is there a ticking time bomb in the vaccine?  i dont trust anything anymore. the world has gone insane."
101,0,"$SPY $PFE psst.. In the Pfizer trials, more people died in the vaccine group than in the placebo group, and it takes 22,000 vaccines to save one life from COVID 😀"
102,0,"I have a feeling I'm gonna live to 100 and die of boredom with the repetitive shite of the ups and downs of the economy  that depicts our lives. Austerity, wars, man made diseases created to sell vaccines to become billionaires. How many billionaires made from the COVID vaccine?"
103,0,"I know someone that reluctantly ended up taking the vaccine due to work, and now his hair is falling out in clumps. Has bald spots. Anyone else heard of that symptom? #VaccineSideEffects #Covid_19 #vaccinated #COVID19"
104,0,Has anyone had “long” Covid that was unvaccinated? I think “long” Covid is government excuse for vaccine reaction. Because I’ve only met people who have had it that were vaxxed.
105,0,"MY momma woke up last Monday with a #Bloodcloth in her eye... No explanation for the unexpected occurrence... Except She took the vaccine 6 months ago...  The COVID vaccine in MY opinion, was a war strategy🤦🏽u200d♀️"
106,0,The Pfizer vaccine has a higher mortality rate than COVID does. This is bullshit I fucking hate what this country has become Biden ruined our economy marketed a new virus that hasn't even come close to doing what heart disease already does in deaths Forced an experimental vaccine
107,0,"I am so ridiculously mad at my dad and stepmom, who are refusing to go to my sisters wedding because it means they’d have to get the COVID vaccine...,. Like are you fucking for real"
108,0,My dad is an idiot that thinks he's smart. He's a snob.  Do your research and get all the info you can...as you don't tell my sister any major Covid vaccine effects and truck her into getting the vax.  Fuck you
109,0,The most recent death involves a 14-year-old boy (VAERS I.D. 2148498) who experienced a cerebral aneurysm leading to death one day after receiving his first dose of Pfizer’s COVID vaccine.
110,0,"For 2 years all we've heard about is Covid, for the last year all media has pushed the Vaccine, yet when Pfizer are forced to release the trial data they wanted locked away for 75 years, the Media is silent about vaccines and Covid!  Do you wonder what the documents said?"
111,0,It’s interesting because we don’t have to do a covid test before going to a concert here in Australia we just have to show a vaccine certificate
112,0,"Who the fuck cares about covid anymore, shit didn't scare me in the first place! Immune system over vaccine any day!"
113,0,I love that the COVID-19 virus is harmless. But also the spike protein from the vaccine is dangerous. Thanks antivaxxers.
114,0,.@OlafScholz today marks two years since the @WHO declared #Covid a global pandemic. We could have been celebrating the end of the #global #pandemic. But Big pharmaceutical corporations still haven’t shared vaccine patents. @Bundeskanzlerz change that and #EndCOVIDMonopolies!
115,0,"COVID vaccines are completely safe, 100% effective and have caused no excess mortality or serious adverse side effects according to independent experts paid by vaccine manufacturers."
116,0,"My son is not getting that covid vaccine, bad enough i had to get it cause I’m a health care worker"
117,0,"Has any one sensed the similarities between the complete demonization of Putin and the total moralizing of climate change, Covid vaccine and mask wearings?"
118,0,"Seizing shit is now the the new government control mechanism. First it was take the jab or lose your job, now it’s Do as we say or we will take all your shit! #BorisJohnson #UkraineRussiaWar #CovidIsNotOver #Covid_19 #vaccine #booster #Government #CorruptToryGovernemrnt"
119,0,"BREAKING NOW: | Austrian Government SUSPENDS Covid-19 Vaccine Mandate For ALL ADULTS, just days before the law becomes effective throughout the country.  Join @CBKNEWS"
120,0,"To everyone who has had the covid vaccine. You have literally bent over and been bummed by, Boris Johnson. #Covid_19 #COVID19 #COVIDIOTS"
121,0,"A Public Service Reminder for Those Who Have Received the Pfizer Covid-19 Vaccine  Pfizer’s vaccine contains 4-hydroxybutyl, a chemical used to promote bladder cancer in animals to study the efficacy of various therapies. See our most recent issue."
122,0,All these years. All this technology we don’t have a cure for the shit but somehow y’all came up with a vaccine for this (NEW VIRUS) covid shit in under a year? Pls explain it to me. Pls.
123,0,"A 2,741 page, $1.5 trillion omnibus spending package fill with Biden's policy priorities. It fails to reverse the COVID-19 emergency or Biden’s vaccine mandates, as conservative leaders have called for, and doubles down on the Green New Deal style government subsidies."
124,0,i swear down genuinely everyone in the world will have had covid by the time the j n j vaccine out this a genuine fucking joke
125,0,"I managed not 2 get #COVID-19 the entire pandemic until my son was 7 months old &amp; we both got it. Shortly after that I got my 1st dose of vaccine, no lies I felt absolutely terrible for MONTHS afterward. I had symptoms for months it was horrible! Well of course when I finally"
126,0,Mask off now. People have already forgotten about the Covid-19 and its vaccine conspiracies. Let's now wait for the side effects to fully kick in.
127,0,Intracellular Reverse Transcription of Pfizer BioNTech COVID-19 mRNA Vaccine BNT162b2 In Vitro in Human Liver Cell Line  And yes it alters your DNA
128,0,❗️Russia/Ukraine is the best vaccine we could have hoped for. It made COVID go away‼️
129,0,I love how medical professionals who got fired for refusing the Covid vaccine are pissed they got fired. Like dude your number one job is patient safety. If a crane operator refuses to do their daily safety inspections they will get fired because crane accidents kill.
130,0,pros of the covid vaccine: covid fucking up my menstrual cycle cured my PMDD. no more monthly suicidal thoughts
131,0,To me the only reason they are reporting high cases of covid again are because they trying to get us to give our kids age 5 and up the vaccine.  My boys had covid twice his immune system will be on it!   Not a chance I'll risk a trial drug on my already suffering son! #MyOpinion
132,0,Canada’s major contributions so far to fighting COVID? Antibody treatments discovered in BC that are priced at levels affordable only to the rich.  Vaccine technologies licensed to companies that refused to share them with poorer countries. Oh Canada. But the stock prices are up!
133,0,"Through this whole Covid scam, I did not take any vaccine, not 1 test of any kind, I was not sick ever and did not wear a mask. I take vitamin D daily. No fear of side effects the rest of my life, no fear of Covid. Your body can handle a lot more than what they will have you know"
134,0,Why are people saying they just want to get COVID to get it over with?! You can catch it more than once.  Your immunity is only high for ~3 months after you get it (most of that time you're still sick) &amp; that still doesn't stop you from vaccine waning/getting other variants.🤔
135,0,"March 12, 2022 poem about decisions to end many COVID-19 restrictions in all Canadian provinces and territories:  No masks No mandates No indoor limits No vaccine passports No lessons learned!"
136,0,Covid vaccine killer.
137,0,Antifa wondered if Antifa makes the covid vaccine.
138,0,"As I’ve been saying for almost a year now: the COVID-19 “vaccine” has proven itself to be worthless at best and deadly at worst.  But if you still believe in vax mandates after all this, then by all means, please keep getting those safe and effective boosters!"
139,0,"Facebook wouldn't allow you to have opinions on the Vaccine, Mask Mandates, or Covid. But now they'll allow hate speech against Russians?  Hmm...  Question everything."
140,0,Anyone dies of Covid it’s trumps fault.  Gas goes up .30 cents it’s trumps fault.   2x the amount of people die of Covid under Biden with a “vaccine” not his fault. Those darn unvaxxed!  Biden pulls out of Afghan gives Taliban billions in weapons. No fault   $7 gas…Putin fault
141,0,From all all I can tell I have now come to the other side of Covid. Terrible sickness. The worst ever. And now I have natural immunity for however long that lasts. I don't need a mask and there is no risk I'll give it to or get it from another person. Nature's vaccine!
142,0,"Whether you ever see it or not, the covid pandemic has brought in the permanent implementation of mask &amp; Vaccine mandates the same way the 9/11 attacks ushered in the permanent installation of the TSA in airports. 20 years later, the TSA never went away did it?"
143,0,"Vaccine. Covid, crazy freaking life guys . Let’s hit that Vape yolo a"
